<!--From: Photo_stichwort_1.2.csv -->
Set commonsconnection of irrelevant keywords to "-"

Multiple categories are separated by ";"
===Keyword|frequency|description|commonsconnection===
*Stoop|1||
*Rapphöns|1|Fåglar|
*Jaktrock|1||
*Mejslar|1|Bruksföremål|
*Konfirmationsbrev|1||
*Helena|1||
*Fetvadd|1||
*Väggvaser|1||
*Draperad|1|Draperingar|
*Egyptier|1||
*Flodlandskap i månsken|1|Konst|
*Slaskhink|1||
*Jaktkostym|1||
*Emaljering|1||
*Algeriet|1||
*Smörgåsar|1|Mat|
*Stigbygel|1||
*Hasselnötter|1||
*Hieroglyfer|1||
*Samer|1|Samiska|
*Guldmedalj|1||
*Hertig av Västerbotten|1||
*Prins Carl|1|Prins Karl|
*Portmonnä|1|Förvaring|
*Ridspö|1|Ridspön|
*Buljong|1|Mat|
*Apollon|1||
*Skoklosters socken|1||
*Filip III|1||
*Tredje våningsplanet|1|Interiörer|
*Tobak|1||
*Sverige|1||
*Horemans|1||
*Franska Jaktdräkten|1||
*Finstickat|1||
*Fältmarskalkstav|1||
*Jämförande|1||
*Klubbor|1||
*Vattenkokare|1|Teknik|
*Sonja Gelotte|1|Sällskapsdamen Sköterskan|
*Björngårdsgatan|1||
*Michael|1||
*San Remo|1||
*Lastbil|1||
*Weenix|1||
*Armbindel|1||
*Israel|1||
*Överliv|1|Kläder Dräkt|
*Munk|1|Munkar|
*Voort|1||
*Rankor|1||
*Salongspistol|1|Pistoler|
*Krustadjärn|1||
*Kadettyg|1||
*Vildsvin|1|Djur|
*Dakke|1|Egypten|
*Gymnastik|1|Sporta|
*Solkatter|1||
*Gurka|1|Gurkor|
*Mommers|1||
*Houckgeest|1|Konst|
*Teservett|1||
*Smörgåsbord|1|Mat|
*Kostym|1|Dräkter Kläder Kostymer|
*Plånbok|1|Förvaring Accessoarer|
*Kamingarnityr|1||
*Vertumnus|1|Fruktgubben|
*Regnkläder|1|Ytterplagg Dräkter|
*Guldbröllop|1||
*Pawel von Essens|1||
*Spetskrage|1|Kragar|
*Kagge|1||
*Sällskapsliv|1|Folk|
*Satyrer|1|Mytologiska|
*1939|1||
*Revolution|1|Revolutioner|
*Handdukar|1||
*Vinröda|1|Röda Vinrött|
*Sovplagg|1|Dräkter Kläder|
*Hoet|1||
*Kentaurer|1||
*Pilbåge|1|Pilbågar|
*Storck|1||
*Trådrulle|1|Trådrullar|
*Stork|1|Storkar Fåglar|
*Storm|1||
*Grisfötter|1||
*Herde herdinna|1|Herdinnor|
*Hjullåsstock|1||
*Margareta Juliana Wrangel|1||
*Polsk|1||
*Fabrik|1|Fabriker|
*Sandalett|1|Sandaletter Skor|
*Kjortelsäck|1||
*Svante|1||
*Limbach|1||
*Betyg|1||
*Couture|1|Cousture Descoutures|
*Johan III|1||
*Hedvig Eleonora|1||
*Karl XVI|1|Carl XVI|
*USA|1|Amerika|
*Dagoty|1|Pierre-Louis Dagoty|
*Permjakov|1||
*Riksråd|1||
*Persisk rock|1|Persiska rocken|
*Monica|1||
*Kartrummet|1|Interiörer|
*Fransk lilja|1||
*Stallmössa|1|Huvudbonader Mössor|
*Carola|1||
*Chaufför|1|Chaufförer|
*Blindbock|1||
*Storamiral|1||
*Eugen|1||
*Georg Günther Kraill von Bemeberg|1||
*Barnuppfostran|1||
*Förfalskningar|1||
*Lars|1||
*Val|1|Valar|
*Zamoysk|1||
*Nicolas Maes|1||
*Tott|1||
*Johann Sbaski|1|Johannes Stanislavs Sbaski|
*Esaias|1||
*Ulrika Eleonora d.ä.|1||
*Tjänstefolket|1|Personal|
*Börs|1||
*Voltigehäst|1||
*Skugga|1||
*Bordsplacering|1||
*Glassmaskin|1||
*Linnerundeln|1||
*Flätor|1||
*Loenen|1||
*Amarantorden|1|Amarantordensstjärna|
*Spruta|1|Sprutor|
*Brahe d.y.|1||
*Heinemann|1||
*Schloss Hallwil|1||
*Kaffekannor|1||
*Tornrummet|1|Interiörer|
*Helgon|1||
*Spetsdekoration|1|Spetsdekorationer|
*Ornö Jaktklubb|1||
*Bengt Claudelin|1||
*Sherry|1||
*Mjölkkanna|1||
*Bokomslag|1||
*Lappländska dräkten|1|Folkdräkter|
*Elisabeth Bourbon|1||
*Kraill von Bemeberg|1||
*Tupp|1|Tuppar Fåglar|
*Sovalkov|1||
*Kändis|1|Kändisar|
*Glosor|1||
*Infanteriofficer|1||
*Axlar|1||
*Amor|1||
*Klinckowström|1||
*Sängomhänge|1|Sängomhängen|
*Ester Claesson|1|Ester Klaesson|
*Kokerskan|1|Tjänstefolk|
*Tekoppar|1||
*Ung|1|Ungdom|
*Hästsvans|1||
*Ikoner|1||
*Europa|1||
*Murrigt|1|Murriga|
*Sexualitet|1|Erotik|
*Spanien|1||
*Katalogisering|1||
*Nackkam|1||
*Valnöt|1||
*Kilian|1||
*Överdel|1|Överdelar|
*Kullersten|1|Kullerstenar|
*Kort aftonklänning|1|Dräkter Kläder|
*Colonialt|1||
*Psalmbok|1|Psalmböcker|
*Tidskrifter|1|Tidningar|
*Slaget vid Femern bält|1|Konst|
*Sadeltäcke|1|Sadeltäcken|
*Bösstock|1|Vapen|
*Upplands nation|1||
*Galalivré|1|Livréer Uniformer Dräkter|
*Piska|1|Piskor|
*Falk|1||
*Skrivschatull|1|Förvaring|
*Heineman|1||
*Nybrogatan|1|Gator Stockholm|
*Dop|1||
*Empirsängar|1|Möbler|
*Pärlarmband|1|Smycken|
*Lampett|1||
*Flytande tvål|1|Hygien|
*Eichstätt|1||
*Paragonfärgband|1||
*Bing Gröndahl|1||
*Kokerskemössa|1|Huvudbonader Dräkter Kläder|
*Fransyska|1||
*Sminkkrus|1||
*Pieter Floriszoon|1||
*Adolf|1||
*Åkerland|1||
*Gummi|1||
*Rum C|1|Interiörer|
*Toalett|1|Hygien|
*Sandin|1|Personal|
*Vapenrummet|1|Interiörer|
*Nellius|1||
*Tvättmaskin|1|Hygien|
*Åminne|1||
*Souvenirer|1||
*Bronsskulptur|1|Skulpturer|
*Säterier|1||
*Påfåglar|1|Djur|
*Viker|1||
*Medeltiden|1||
*Margareta Connaught|1||
*Qingdynastin|1||
*Badrumsinredning|1||
*Tillbringare|1|Kanna Kannor|
*Styltsko|1||
*Silkesspets|1|Silkesspetsar|
*Jaktklubb|1||
*Nygotiskt|1||
*Bordsur|1||
*Spann|1||
*Vanish|1|Hygien|
*Pepperbox|1||
*Rue de la haute ville|1||
*Första våningen|1|Interiörer|
*Axel|1||
*Wrangelska adelsvapnet|1||
*Spishäll|1|Spishällar|
*Siffror|1|Nummer|
*Sven|1||
*Tycho Brahe|1||
*Sängkläder|1||
*Nove|1||
*Danska|1||
*1890-talet|1||[[:Category:1890s]]
*Ellen Roosval|1|Ellen von Hallwyl Ellen Roosval von Hallwyl|[[:Category:Ellen Roosval von Hallwyl]]
*van Dyck|1|Konst|
*Butik|1||
*Schoelcher|1||
*Kavaj|1||
*Tunisiskt|1|Tunisiska|
*Holländsk|1|Nederländska|
*Årets riddare|1||
*Glasmålning|1|Glasmålningar|
*Tunisiska|1|Tunisier|
*Den glada återfärden|1|Konst|
*Barnmössor|1||
*Steinway & Sons|1||
*Tischen|1||
*Lackstämpel|1||
*Kalkbruk|1||
*Vapenservisen|1|Serviser|
*Flintlåsdambössa|1|Eldvapen Skjutvapen|
*Adelsvapen|1|Heraldik|
*Osmanska|1||
*Krokanfigur|1||
*Sängbotten|1|Sängbottnar Möbler Möblemang|
*Valfångst|1|Jakt|
*Beslag|1||
*Francken|1||
*Rabattkrage|1||
*Hästen|1||
*Königsmarck|1||
*Mäter|1||
*Dopsläp|1||
*Nausikaa|1||
*Tändsticksställ|1||
*Löskolv|1||
*Slips|1|Slipsar Accessoarer Dräkter|
*Arbetsrockar|1|Kläder Dräkter|
*Randalf|1||
*Michael Radziejowski|1||
*Pool|1||
*Kung|1||
*Béthun|1||
*Krås|1||
*Plommonstop|1|Hattar Huvudbonader|
*Medaljonger|1||
*Hjullåskarbiner|1|Eldvapen|
*Stanislavs|1||
*Låskolv|1||
*Stadshuset|1||
*Stenbock|1||
*Ducoudrey|1||
*Kina|1||
*Henrietta Maria|1||
*Pudding|1|Mat|
*Ingeborg|1||
*Sängkammare|1|Sovrum Interiörer Sängkammaren|
*Norge|1||
*Fisk|1||
*Berlock|1||
*Sorglivré|1|Sorgedräkter|
*Stigläder|1||
*Damask|1|Kläder Leggings Tights|
*Scout|1|Scouterna|
*Späcknålar|1||
*Damast|1||
*Uddspetsar|1||
*Triangel|1||
*Näsdukar|1||
*Prinsessan Ingeborg|1||
*Bally|1||
*Åke|1||
*Hotell|1||
*Algeriskt|1|Algeriska|
*Boots|1|Skor|
*Interiörer|1||
*Lewenhaupt|1||
*Initialer|1||
*Norwich|1||
*Skolprogram|1|Marknadsföring|
*Gevär|1||
*Tekannor|1|Tekanna|
*Fältkikare|1||
*Hjullåspistoler|1|Skutvapen Eldvapen|
*Flöjt|1|Musikinstrument|
*I klädeshandeln|1|Konst Butiker|
*Vagga|1||
*Kulhål|1||
*Titelblad|1||
*Caroline Pflaum|1||
*Sufflé|1|Suffler Maträtter|
*Koninck|1|Konst|
*Hyskor|1||
*Hobby|1||
*Dulong|1|Planrelief|
*Galanterivaror|1|Hygien|
*Innocenceorden|1|Ordnar|
*Vepa|1|Vepor|
*Faraos dotter och mosesbarnet|1|Religion Religiöst|
*Kristus i dödsriket|1|Kristet Religion Jesus Konst|
*Samtal|1||
*Abundantia|1||
*Bordsben|1||
*Pilkoger|1||
*Bordssurtout|1||
*Lenni Lenape|1|Delaware|
*von Rosen|1||
*Brudutstyrsel|1|Brudar|
*Mohair|1||
*Vouet|1||
*Gatuvy|1|Gata Gator|
*Skiss|1|Skisser|
*Box|1||
*Heym|1|Heijm Hiem|
*Vetenskapsman|1||
*Apparat|1||
*Fängpanna|1||
*Bågkoger|1||
*Rom|1|Italien|
*Bågljusbestrålningslampa|1||
*Upplysningstiden|1||
*Cigarettmunstycken|1|Rökdon|
*Empir|1|Empiren|
*Cigarr|1||
*Flätad|1|Flätade|
*Isskåpet|1||
*Badkar|1||
*Amiralen|1|Militärer|
*Friherrliga ätten|1||
*Diflaska|1||
*Kök|1||
*Rue de Temple|1||
*Steen|1|Konst|
*Howe|1||
*Nattmössa|1|Nattmössor Huvudbonader|
*Vitt vin|1||
*Örngott|1|Textilier|
*Aga|1||
*Hedwig|1||
*Nåldyna|1|Nåldynor|
*Svenskt|1|Svenska|
*Rothlieb|1||
*Hanley|1||
*Gammal|1||
*Rudolf II|1||
*Glaspärlor|1||
*Noshörningshorn|1||
*S:t Gallen|1||
*Byst|1||
*Lindencrone|1||
*Nautilus|1||
*Slaglås|1|Skjutvapen Eldvapen|
*Askar|1||
*2007|1||
*Pumpstockshyvel|1|Bruksföremål|
*Slipsknut|1|Slipsknutar|
*Palamedesz|1||
*Orientaliska|1||
*Jean Baptiste|1||
*Framsidor|1||
*Fiskare|1||
*Balkong|1|Balkonger|
*Sten|1||
*Kvarn|1||
*Pumpor|1|Mat|
*Bilägersdräkt|1|Bröllopsdräkt|
*Krigsbyten|1||
*Anglicus|1||
*Aertsen|1||
*Köpenhamn|1||
*General Motors|1||
*Krinoliner|1|Krinoliner|
*Putsa|1||
*Butiker|1|Affärer|
*Spegel|1|Speglar|
*Falsk|1|Falska|
*Sängen|1||
*Styltskor|1||
*Kråsnålar|1|Accessoarer|
*Roslau|1||
*Smörkärna|1||
*Körsbär|1||
*Korzec|1||
*1850-tal|1||[[:Category:1850s]]
*Hästskor|1||
*Pudel|1|Pudlar Hundar|
*Entrén|1||
*Staty|1||
*Inventarielappar|1||
*Quiltade|1||
*Nåletui|1||
*Tältsäng|1|Tältsängar|
*Grip|1||
*Jessica|1||
*Nordstjärna|1||
*Anna Brahe|1||
*Ludvig|1||
*Wallis|1||
*Arentsz|1||
*Stomme|1||
*Hummer|1|Skaldjur|
*Margit|1||
*Bil|1||
*Dryck|1||
*Gräddsnäckor|1||
*Handtag|1||
*Stockholmsutställningen|1||
*Sprutor|1||
*Patroner|1||
*Tunisier|1|Tunisisk|
*Broderar|1||
*Hwasser|1||
*Brudnäsduk|1|Brudnäsdukar|
*Byrå|1|Möbler|
*Ved|1||
*Quintanlans|1|Vapen|
*Lejonhuvud|1|Lejonhuvuden|
*Miniatyrmåleri|1|Miniatyrporträtt|
*Trofékrön|1||
*Gelotte|1||
*Kikare|1||
*Mörk man|1||
*Kristallkrona|1||
*Ziscas|1||
*Kolige|1||
*Fransk|1||
*Soppa|1|Mat|
*Benihasan|1|Egypten|
*Regent|1|Regenter|
*Plättar|1|Mat|
*Purpur|1||
*Polisonger|1|Hår|
*Pelle Snusk|1||
*Effie|1||
*Schema|1|Scheman|
*Citronpress|1|Köksredskap|
*Skärmhattar|1|Huvudbonader|
*Burgundiska|1||
*Puffbyxa|1|Puffbyxor Kläder Dräkt|
*Bellville Sassoon|1||
*Heckscher|1|Konst|
*Vallmo|1|Blommor Blomma|
*Bokstäver|1||
*Alger|1|Algeriet|
*Struvtratt|1|Struvjärn|
*Velde d.ä.|1||
*Kröningssele|1||
*Sidenripsklänning|1||
*Helvetesmaskin|1||
*Undersidan|1||
*Hogenskild|1||
*Klöcker|1||
*Navigerare|1||
*Florentinsk mosaik|1||
*Satyr|1|Satyrer Mytologiska|
*Katt|1|Katter|
*Berchem|1||
*Moroni|1||
*Bödel|1||
*Medaljer|1||
*Åker|1|Fält|
*Havskarta|1|Havskartor|
*Promenadkostym|1|Promenadkostymer Dräkt Kläder|
*Fanny|1||
*Claremont|1||
*Barbeaux|1||
*Blomställ|1||
*Tapeter|1||
*Italienare|1||
*Beige|1||
*Agnes|1||
*Dekor|1||
*Kontuz|1||
*Barnbok|1|Barnböcker|
*Strykjärn|1|Bruksföremål|
*Fredrik|1||
*Snoddbroderier|1|Hantverk Handarbete|
*Friedrich II|1||
*Stövletter|1||
*Dosor|1||
*Bebisar|1|Baby|
*Marskalkuniform|1|Marskalkuniformer|
*Elddon|1||
*Wennerberg|1||
*Ulriksdal|1||
*Fiska|1||
*Frikadeller|1||
*Kummin|1||
*Cembalo|1||
*Prins Lennart|1||
*Nattröja|1||
*Palermo|1|Italien|
*Chokladkanna|1||
*Axelklaffar|1||
*Ruthven|1||
*Rutger|1||
*Posthorn|1||
*Kaffe|1||
*Bälte|1||
*Luntsnapplåsbössa|1|Luntsnapplåsbössor Skutvapen Eldvapen|
*Hovuniform|1||
*Resesäng|1|Sängar|
*Afrika|1||
*Rålamb|1||
*Davidsstjärna|1||
*Lakan|1|Sängkläder|
*Lugg|1||
*Sven Elofsson|1||
*Kejsaren|1||
*Ficka|1|Fickor|
*Frieri|1||
*Armillarsfären|1||
*Osthyvel|1||
*Johan av Östergötland|1||
*Ida Uhse|1|Sällskapsdamen|
*Abraham|1||
*Frankrike|1||
*Stockholms slott|1||
*Fågelboformare|1||
*Elinga|1||
*Hans Christoffer von Königsmarck|1||
*Hetshorn|1||
*Armringar|1|Armband Smycken|
*Fredrik III|1||
*Portfölj|1|Väska Förvaring|
*Delft efter krutexplosionen|1|Konst|
*Ungt par på värdshus|1|Konst|
*Söljor|1|Spännen|
*Filthatt|1||
*Fyradagarslaget|1|Konst|
*Kändler|1||
*Blodig svepduk|1||
*Igenkänningstecken|1||
*Dansprogram|1|Danser|
*Trofé|1|Troféer|
*Legymformare|1|Köksredskap|
*Nils Asplund|1||
*Brudklänningar|1|Bröllopsklänningar|
*Blåklint|1|Blommor|
*Gerhard Terborch|1||
*Begravningståg|1||
*Jakob Obdam|1||
*Kägelbanan|1||
*Kommunikation|1||
*Biljardrummet|1|Interiör|
*Rosenstenar|1||
*Handkanna|1||
*Bokmärke|1|Bokmärken|
*Bröd|1|Mat|
*Venedig|1||
*Svärdsorden|1||
*Sigfrid|1||
*Musiktävlingen|1||
*Nymphenburg|1||
*Bardisan|1||
*Musik|1||
*Brudskor|1||
*Såssil|1|Köksredskap|
*Jolles|1||
*Fästen|1||
*Dubbning|1||
*Påsklilja|1|Påskliljor Blommor|
*Kaffekvarn|1||
*Spjut|1||
*Venderna|1||
*Matrikel|1||
*And|1||
*Regalier|1||
*Sture|1||
*Kokböcker|1||
*Skaldjur|1||
*Karlsbad|1||
*Träning|1||
*Serval|1|Katt Djur|
*Nitar|1||
*Panel|1||
*Ränder|1|Randigt|
*Snideri|1||
*Skafferi|1|Skafferier Förvaring|
*Maskeradklänning|1||
*Silverfat|1||
*Okänd|1||
*Kandelabrar|1|Ljusstakar Ljusstake|
*Bakplåt|1||
*Florens|1|Firenze|
*Blyerts|1||
*Skola|1|Skolor|
*Anckarström|1||
*Locktång|1||
*Dalberg|1||
*Militärt|1||
*Rålamb hjärtvapen|1||
*Skrattande barn|1||
*Kaviar|1||
*Salomes dans|1|Konst|
*Lotta Lewenhaupt|1||
*Signerat|1|Signaturer|
*Officer|1||
*Järnhanden|1||
*Edmund von Fallenberg|1||
*Näsring|1|Näsringar Smycken|
*Esaias Tegnér|1||
*Märtha|1||
*Banddekorer|1||
*Miniatyrporträtt|1|Miniatyrmåleri|
*Värmelampa|1||
*Hedvig Sofia|1||
*Werdt|1||
*Lavering|1|Laveringar|
*Spädbarn|1|Bebisar Baby|
*Litografi|1|Litografier|
*Erik Ulfsparre af Broxvik|1||
*Bälten|1||
*Dogepalatset|1|Palazzo Ducale|
*Tvätt|1|Hygien|
*Claude Gebhardt de Laval|1||
*Tvätta|1|Hygien|
*Doppåse|1|Doppåsar|
*Snörsko|1|Snörskor|
*Gerhard ter Borch|1||
*Stalldräng|1|Tjänstefolk|
*Kulle|1|Kullar|
*Japan|1||
*Blyspröjsmaskin|1|Blyspröjsmaskiner|
*Sköldpaddssoppa|1||
*Allé|1||
*Fältmarskalk|1||
*Värjor|1|Blankvapen|
*Papegojor|1||
*Festonger|1||
*Tornervärja|1|Tornervapen|
*Rudolf Colloredo|1||
*Pompeji|1|Pompei Pompeii|
*Kylskåpet|1||
*Åkvagn|1||
*Präster|1||
*Le Journal des Demoiselles|1||
*Grönland|1||
*Albertina|1||
*Ruysch|1||
*Tvättsvampar|1|Hygien|
*Bonad|1|Bonader Textilier|
*Ordensstjärna|1|Ordenstecken|
*Ulfeldt|1||
*Betjänten Eskil|1||
*Divan|1||
*Camillo Marcolino|1||
*Madame Comtesse de Saint Geran|1||
*Emblem|1||
*Klot|1||
*Elsa|1||
*Platåsko|1||
*Kontoret|1|Interiör|
*Yxa|1|Yxor|
*Vargjakt|1||
*Ilmenau|1||
*Ryckaert|1|Konst|
*Hjullåsgranatbössa|1|Hjullåsgranatbössor Skjutvapen Eldvapen|
*Knivar|1||
*Dopdräkt|1|Dopdräkter|
*Page|1||
*Kröningshögtidligheterna|1||
*Lyster|1||
*Nationalromantiken|1||
*Luva|1||
